CaseUniqueId,CaseNodeId,CaseReference,DateReceived,DateValid,DateInfoSentToLPA,DateInfoReturnedFromLPA,DateNeighboursNotified,NewspaperAdvertDate,SiteNoticeDate,PublicityForApplicationsDate,ConsultationsWithRelevantAuthoritiesDate,RepresentationPeriodClose,HearingDate,MineralNotificationDate,RepresentationsPublishedDate,TargetDecisionDate,PPATargetDecisionDate,EoTTargetDate,DecisionDate,RepresentationPeriodOpen,DecisionType,Article21Trigger
3367902,62759342,S62A/2025/0111,18/06/2025,01/07/2025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,04/08/2025,NULL,NULL,NULL,26/08/2025,NULL,NULL,08/08/2025,NULL,Refused,NULL
3369181,63074771,S62A/2025/0112,10/07/2025,04/08/2025,NULL,NULL,05/08/2025,NULL,NULL,NULL,NULL,04/09/2025,NULL,NULL,09/09/2025,29/09/2025,NULL,NULL,26/09/2025,NULL,Refused,NULL
3369242,63090056,S62A/2025/0113,11/07/2025,29/07/2025,NULL,NULL,06/08/2025,13/08/2025,06/08/2025,NULL,05/08/2025,04/09/2025,NULL,NULL,NULL,23/09/2025,NULL,08/10/2025,08/10/2025,NULL,Refused,NULL
3369640,63172228,S62A/2025/0114,21/07/2025,04/08/2025,28/07/2025,NULL,NULL,NULL,NULL,NULL,NULL,09/09/2025,NULL,NULL,NULL,29/09/2025,NULL,09/10/2025,07/10/2025,NULL,Approved With Conditions,NULL
3370226,63299694,S62A/2025/0115,30/07/2025,12/08/2025,05/08/2025,21/08/2025,14/08/2025,NULL,NULL,NULL,NULL,15/09/2025,NULL,NULL,NULL,07/10/2025,NULL,17/10/2025,17/10/2025,NULL,Refused,NULL
3370385,63336577,S62A/2025/0116,04/08/2025,13/08/2025,08/08/2025,19/08/2025,18/08/2025,NULL,NULL,NULL,NULL,16/09/2025,NULL,NULL,NULL,08/10/2025,NULL,NULL,07/10/2025,NULL,Approved With Conditions,NULL
3370418,63346283,S62A/2025/0117,04/08/2025,13/08/2025,NULL,19/08/2025,NULL,NULL,NULL,NULL,NULL,16/09/2025,NULL,NULL,NULL,08/10/2025,NULL,NULL,07/10/2025,NULL,Approved With Conditions,NULL
3370511,63357980,S62A/2025/0118,04/08/2025,20/08/2025,13/08/2025,NULL,27/08/2025,03/09/2025,27/08/2025,NULL,NULL,24/09/2025,NULL,NULL,NULL,15/10/2025,NULL,31/10/2025,30/10/2025,NULL,Approved With Conditions,NULL
3371324,63513649,S62A/2025/0119,18/08/2025,26/09/2025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,05/11/2025,NULL,NULL,NULL,21/11/2025,NULL,NULL,21/11/2025,NULL,Approved With Conditions,NULL
3372002,63645447,S62A/2025/0120,29/08/2025,10/09/2025,NULL,NULL,15/09/2025,NULL,NULL,NULL,NULL,14/10/2025,NULL,NULL,NULL,05/11/2025,NULL,02/12/2025,02/12/2025,NULL,Approved With Conditions,NULL
3372455,63711532,S62A/2025/0121,03/09/2025,10/10/2025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14/11/2025,NULL,NULL,NULL,05/12/2025,NULL,NULL,02/12/2025,NULL,Approved With Conditions,NULL
3372727,63774585,S62A/2025/0122,08/09/2025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25/09/2025,NULL,Withdrawn,NULL
3372814,63797785,S62A/2025/0123,10/09/2025,25/09/2025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28/10/2025,NULL,NULL,NULL,20/11/2025,NULL,NULL,06/11/2025,NULL,Approved With Conditions,NULL
3373019,63843192,S62A/2025/0124,15/09/2025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,01/10/2025,NULL,Withdrawn,NULL
3373031,63843889,S62A/2025/0125,15/09/2025,23/10/2025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28/11/2025,NULL,NULL,NULL,18/12/2025,NULL,NULL,12/12/2025,NULL,Refused,NULL
3373065,63841099,S62A/2025/0126,15/09/2025,25/09/2025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30/10/2025,NULL,NULL,NULL,20/11/2025,NULL,NULL,18/11/2025,NULL,Approved With Conditions,NULL
3373422,63924674,S62A/2025/0127,22/09/2025,02/10/2025,NULL,NULL,09/10/2025,NULL,NULL,NULL,NULL,05/11/2025,NULL,NULL,NULL,27/11/2025,NULL,NULL,26/11/2025,NULL,Approved With Conditions,NULL
3373769,63987613,S62A/2025/0129,26/09/2025,21/11/2025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31/12/2025,NULL,NULL,NULL,16/01/2026,NULL,NULL,16/01/2026,NULL,Refused,NULL
3374024,64046274,S62A/2025/0130,01/10/2025,29/10/2025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,02/12/2025,NULL,NULL,NULL,24/12/2025,NULL,NULL,23/12/2025,NULL,Refused,NULL
3374574,64180342,S62A/2025/0131,08/10/2025,07/11/2025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11/12/2025,NULL,NULL,NULL,02/01/2026,NULL,NULL,29/12/2025,NULL,Refused,NULL
3374612,64192138,S62A/2025/0132,15/10/2025,03/11/2025,21/10/2025,NULL,07/11/2025,NULL,NULL,NULL,NULL,04/12/2025,NULL,NULL,NULL,29/12/2025,NULL,NULL,15/12/2025,NULL,Refused,NULL
3374641,64199315,S62A/2025/0133,15/10/2025,05/11/2025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17/12/2025,NULL,NULL,NULL,31/12/2025,NULL,09/01/2026,09/01/2026,NULL,Refused,NULL
3374771,64238131,S62A/2025/0134,17/10/2025,06/11/2025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10/12/2025,NULL,NULL,NULL,02/01/2026,NULL,NULL,02/01/2026,NULL,Refused,NULL
3374821,64244897,S62A/2025/0135,21/10/2025,14/11/2025,28/10/2025,NULL,NULL,NULL,NULL,NULL,NULL,18/12/2025,NULL,NULL,NULL,09/01/2026,NULL,NULL,06/01/2026,NULL,Refused,NULL
3374895,64264576,S62A/2025/0136,22/10/2025,19/11/2025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30/12/2025,NULL,NULL,NULL,14/01/2026,NULL,NULL,08/01/2026,NULL,Refused,NULL
3375423,64396048,S62A/2025/0137,04/11/2025,19/11/2025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,08/01/2026,NULL,NULL,NULL,14/01/2026,NULL,26/01/2026,05/02/2026,NULL,Approved With Conditions,NULL
3375478,64409332,S62A/2025/0138,05/11/2025,20/11/2025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30/12/2025,NULL,NULL,NULL,15/01/2026,NULL,NULL,14/01/2026,NULL,Approved With Conditions,NULL
3375640,64450979,S62A/2025/0139,10/11/2025,09/12/2025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16/01/2026,NULL,NULL,NULL,03/02/2026,NULL,NULL,28/01/2026,NULL,Refused,NULL
3376036,64547079,S62A/2025/0140,19/11/2025,08/12/2025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14/01/2026,NULL,NULL,NULL,02/02/2026,NULL,NULL,21/01/2026,NULL,Refused,NULL
3376150,64575130,S62A/2025/0141,19/11/2025,16/12/2025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28/01/2026,NULL,NULL,NULL,10/02/2026,NULL,NULL,09/02/2026,NULL,Approved,NULL
3376198,64594131,S62A/2025/0142,21/11/2025,05/12/2025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13/01/2026,NULL,NULL,NULL,30/01/2026,NULL,NULL,20/01/2026,NULL,Refused,NULL
3376225,64603752,S62A/2025/0143,21/11/2025,03/12/2025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12/01/2026,NULL,NULL,NULL,28/01/2026,NULL,NULL,15/01/2026,NULL,Refused,NULL
3376610,64696447,S62A/2025/0144,03/12/2025,23/12/2025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,02/02/2026,NULL,NULL,NULL,17/02/2026,NULL,NULL,17/02/2026,NULL,Refused,NULL
3376737,64741642,S62A/2025/0145,11/12/2025,05/01/2026,NULL,NULL,NULL,NULL,NULL,NULL,NULL,06/02/2026,NULL,NULL,NULL,02/03/2026,NULL,NULL,18/02/2026,NULL,Approved With Conditions,NULL
3376738,64740399,S62A/2025/0146,11/12/2025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3376849,64784160,S62A/2025/0147,17/12/2025,08/01/2026,22/12/2025,NULL,NULL,NULL,NULL,NULL,NULL,10/02/2026,NULL,NULL,NULL,05/03/2026,NULL,NULL,26/02/2026,NULL,Refused,NULL
3376904,64797778,S62A/2025/0148,18/12/2025,14/01/2026,30/12/2025,NULL,NULL,NULL,NULL,NULL,NULL,16/02/2026,NULL,NULL,NULL,11/03/2026,NULL,NULL,16/03/2026,NULL,Approved With Conditions,NULL
3377086,64834926,S62A/2025/0149,22/12/2025,12/01/2026,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11/02/2026,NULL,NULL,NULL,09/03/2026,NULL,NULL,09/03/2026,NULL,Approved With Conditions,NULL
3377096,64839260,S62A/2025/0150,22/12/2025,22/01/2026,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24/02/2026,NULL,NULL,NULL,19/03/2026,NULL,NULL,09/04/2026,NULL,Approved With Conditions,NULL
3377128,64848865,S62A/2025/0151,23/12/2025,13/01/2026,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16/02/2026,NULL,NULL,NULL,10/03/2026,NULL,NULL,30/03/2026,NULL,Refused,NULL
3377230,64905139,S62A/2026/0152,06/01/2026,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3377521,65006133,S62A/2026/0153,21/01/2026,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3378824,65783528,S62A/2026/0154,17/06/2026,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3378852,65813466,S62A/2026/0155,09/07/2026,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
